NB.SI;CATEGORIE;DESIGNATION;MATRICULE;DATE ENTREE;PANNE DECLAREE;SIT.ACTUELLE;PIECES;DATE SORTIE;INTERVENANT;AFFECTATION;NBR INDISPONIBILITE;JOUR OUVRABLE;RATIO;JOUR DISPONIBILITE;RATIO2; TYPE DE PANNE ;
02441-209-40/1;TRANS/PERSONNEL;CAMION HD65 HYUNDAI 007995-209-16;02441-209-40;29/01/2024;mauvais freinage;Réparée;réglage de frein;29/01/2024;Sekakra,Dj;PARC;1;22;0,05;21;95,45%;mécanique;
CB00662/1;;;CB00662;29/01/2024;couronne d'orientation défectueuse;Réparée;01 couronne d'orientation - 01 arbre équipe (treuil de levage);01/05/2024;Externe;PARC;68;22;3,09;0;100%;mécanique;
00145-105-40/8;LEGER;HONDA CIVIC 00145-105-40;00145-105-40;30/01/2024;suspension (AR) défectueuse;Réparée;02 Amortisseurs - 02 bras de force - 06 silent bloc - ;05/02/2024;Djeridi,A;MGX;5;22;0,23;17;77,27%;mécanique;
CB1349/2;GEG;GROUPE  ELECTROGENE 180 KVA VOLVO CB1349;CB1349;04/02/2024;fuite du liquide refroidissement;Réparée;réparation durit;04/02/2024;Sekakra,Dj;P,UNIVERSITE;1;22;0,05;21;95,45%;mécanique;
02326-209-40/3;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M6 HYUNDAY 008003-209-16;02326-209-40;04/02/2024;embrayage;Réparée;servo d'embrayage ;05/02/2024;Gharib,med;CAB;2;22;0,09;20;90,91%;mécanique;
01383-212-40/1;TRANS/MARCHANDISE;CAMION  PLATEAU DAEWOO  003784-212-16;01383-212-40;04/02/2024;mauvais mélange (Air/Carburant) fumée bleu ;Réparée;réglage de doigt culbuteur ;04/04/2024;Youcefi,S;PARC;45;22;2,05;0;100%;mécanique;
097466-114-16/6;LEGER;RENAULT TRAFIC (FOREMHYD) 097466-114-16;097466-114-16;05/02/2024;bloc moteur;Réparée;révision moteur - changement bloc moteur - changement turbo - filtre a huile -  filtre gasoil - réglage de frein - tarage injecteurs - pompe a eau - pompe a l'huile - ;31/03/2024;Sekakra,Dj;MGX;40;22;1,82;0;100%;mécanique;
02657-313-40/5;LEGER;MITSUBISHI L200 02657-313-40;02657-313-40;11/02/2024;Le Véhicule ne démarre pas;Réparée;révision moteur;08/02/2024;externe;MGX;1;22;0,05;21;95,45%;mécanique;
01140-317-40/4;LEGER;VOLKSWAGEN  CADDY 01140-317-40;01140-317-40;14/02/2024;entretien;Réparée;changement chaine distribution - changement amortisseur (AV) ;14/02/2024;externe;MGX;1;22;0,05;21;95,45%;mécanique;
042-01468-40/4;ENGIN TERRASSEM;PELLE SUR PNEU M315D CATERPILLAR 042-01468-40;042-01468-40;15/02/2024;fuite de l'huile hydraulique;Réparée;joint SPI;15/02/2024;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
00379-305-40/7;LEGER;MITSUBISHI PICK UP 00379-305-40;00379-305-40;15/02/2024;le vehicule ne demarre pas;Réparée;pompette gasoil - filtre a air;15/02/2024;Sekakra,Dj;MGX;1;22;0,05;21;95,45%;mécanique;
02177-209-40/2;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M4 HYUNDAY 007993-209-16;02177-209-40;17/02/2024;passage de viteese difficile;Réparée;mécanisme d'embrayage - servo d'embrayage;25/02/2024;Gharib,med;CAB;6;22;0,27;16;72,73%;mécanique;
003804-206-16/7;TRANS/PERSONNEL 40;CAMION TP-02 HYUNDAI  00194-206-40;003804-206-16;17/02/2024;fuite liquide de frein;Réparée;Goupille ;18/02/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
CB1349/3;GEG;GROUPE  ELECTROGENE 180 KVA VOLVO CB1349;CB1349;17/02/2024;surchauffe moteur/fuite de l'huile;Réparée;Joint SPI - Filtre huile - Filtre a Air - pompe a eau - vase d'eau ;03/04/2024;Gharib,med;P,UNIVERSITE;34;22;1,55;0;100%;mécanique;
051-01249-40/4;MANITENTION;GRUE SUR PNEU SANY QY25 SANY 051-01249-40;051-01249-40;22/02/2024;l'engin ne demarre pas ;Réparée;02 Batterie 12V 150AH;22/02/2024;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
051-01249-40/5;MANITENTION;GRUE SUR PNEU SANY QY25 SANY 051-01249-40;051-01249-40;28/02/2024;l'engin ne démarre pas;Réparée;01 Mano doseur régulateur de pression - 06 injecteur;10/03/2024;Gharib,med;PARC;8;22;0,36;14;63,64%;mécanique;
02041-112-40/2;LEGER;NISSAN SUNNY 02041-112-40;02041-112-40;03/03/2024;freinage;Réparée;plaquette de frein (kit) - 04 bougie d'allumage;04/03/2024;Djeridi,A;MGX;2;22;0,09;20;90,91%;mécanique;
02655-313-40/5;LEGER;MITSUBISHI L200 02655-313-40;02655-313-40;03/03/2024;électricité et suspension;Réparée;relai 12V - régulateur 12V - amortisseur AV - amortisseur AR - 02 rotule crémaillère - 02 rotule fusil - flexible gasoil - plaquette de frein - ;05/03/2024;Marir,R;MGX;3;22;0,14;19;86,36%;électrique;
051-01249-40/6;MANITENTION;GRUE SUR PNEU SANY QY25 SANY 051-01249-40;051-01249-40;05/03/2024;problème de démarrage;Réparée;filtre gasoil (réf: 1R - 0751) - filtre séparateur (réf: FS19816);05/03/2024;Tamrabet,A;PARC;1;22;0,05;21;95,45%;mécanique;
00145-105-40/9;LEGER;HONDA CIVIC 00145-105-40;00145-105-40;11/03/2024;surchauffe moteur;Réparée;joint de culasse - rectification culasse;18/03/2024;Youcefi,S;MGX;6;22;0,27;16;72,73%;mécanique;
042-01812-40/4;ENGIN TERRASSEM;PELLE SUR CHENILLE EC 350DL VOLVO 042-01812-40;042-01812-40;25/03/2024;dent de godet usées;Réparée;remplacement de 05 dents de godet;03/04/2024;Djeridi,A;PARC;8;22;0,36;14;63,64%;mécanique;
00111-505-40/1;TRANS/MARCHANDISE;TRACTER ROUTIER  MITSUBISHI 000935-505-16;00111-505-40;28/03/2024;problème de freinage;Réparée;valve frein de service défectueuse (robinet a pied) - kit segment pour compresseur d'air - 04 garniture de frein (AV - AR) - vase d'eau  -  durite - 02 raccord d'air comprimé;05/05/2024;Gharib,med;PARC;27;22;1,23;0;100%;mécanique;
00744-213-40/1;TRANS/BENNE;CAMION A BENNE C260 6X4 BN-14 DAEWOO  003459-213-16;00744-213-40;31/03/2024;"accident de circulation (vitre latérale ""deflecteur""-rétroviseur) brisés";Réparée;01 rétroviseur;04/04/2024;Marir,R;PARC;5;22;0,23;17;77,27%;électrique;
051-01249-40/7;MANITENTION;GRUE SUR PNEU SANY QY25 SANY 051-01249-40;051-01249-40;31/03/2024;manque performance moteur et fumée noire;Réparée;06 bec injecteur;31/03/2024;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
042-01186-40/1;ENGIN TERRASSEM;PELLE HD SUR CHENILLE 9411 ENMTP 042-01186-40;042-01186-40;02/04/2024;l'engin ne démarre pas problème electrique (batterie HS) dépané avec les batteries du tracteur routier mitsubishi;Réparée;changement régulateur de tension (alternateur);02/04/2024;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
051-01249-40/8;MANITENTION;GRUE SUR PNEU SANY QY25 SANY 051-01249-40;051-01249-40;04/04/2024;manque performance moteur et fumée noire;Réparée;01 capteur de pression (gasoil);04/04/2024;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
01250-711-40/1;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M1 HYUNDAY 000332-711-16;01250-711-40;14/04/2024;bruit anormal a niveau de la suspension AR;Réparée;silent bloc des bras de forces (08) - 08 (BT) liquide refroidissement - 30L (15w40) vidange moteur (camion  -  toupie) - FH (camion);17/04/2024;Djeridi,A;CAB;4;22;0,18;18;81,82%;mécanique;
00801-111-40/3;LEGER;HYUNDAI HYUNDAI ACCENT 00801-111-40;00801-111-40;14/04/2024;freinage;Réparée;plaquette de frein (kit) -  courroie de distribution (réf: 94919) - courroie et galet clim (ref:10022);15/04/2024;Youcefi,S;MGX;2;22;0,09;20;90,91%;mécanique;
00378-105-40/2;LEGER;HONDA ACCORD 00378-105-40;00378-105-40;15/04/2024;température moteur passage de vitesse difficle suspension usée fuite radiateur;Réparée;durite pour filtre a air - ventilateur de radiateur -  manomètre température -  mécanisme d'embrayage - 02 cardon - 06 silent bloc (triangle) - 01 porte charbon (démarreur) - 02 roulement (alternateur) - 04 triangle (PM - GM) - 02 rotule direction - 02 rotule fusée - huile de frein (dot3);30/04/2024;Youcefi,S;MGX;12;22;0,55;10;45,45%;mécanique;
CB1523/2;GEG;GROUPE  ELECTROGENE 180 KVA VOLVO CB1523;CB1523;15/04/2024;le groupe ne démarre pas;Réparée;problème électrique et/ou présence de l'eau dans le carburant;21/04/2024;Haggas,M;CAB;5;22;0,23;17;77,27%;mécanique;
097466-114-16/7;LEGER;RENAULT TRAFIC (FOREMHYD) 097466-114-16;097466-114-16;15/04/2024;manque de puissance moteur/fuite de l'huile (filtre a l'huile);Réparée;indéterminée;17/04/2024;Sekakra,Dj;MGX;3;22;0,14;19;86,36%;mécanique;
02654-313-40/6;LEGER;MITSUBISHI L200 02654-313-40;02654-313-40;17/04/2024;cable accelerateur coincé;Réparée;changement de câble accélérateur;17/04/2024;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
052-00775-40/8;MANITENTION;GRUE SUR PNEU 1025 ENMTP 052-00775-40;052-00775-40;18/04/2024;probléme electrique (régulateur) ;Dépanné;réglage de frein - régulateur 12V;18/04/2024;Sekakra,Dj;PARC;1;22;0,05;21;95,45%;mécanique;
042-01532-40/3;ENGIN TERRASSEM;BULLDOZER CATERPILLAR 042-01532-40;042-01532-40;18/04/2024;préventif;Réparée;séparateur gasoil - filtre gasoil;18/04/2024;Djeridi,A;PARC;1;22;0,05;21;95,45%;mécanique;
02184-512-40/2;TRANS/MARCHANDISE;TRACTER ROUTIER   6X4 DAEWOO  001637-512-16;02184-512-40;18/04/2024;surchauffe moteur;Réparée;rectification culasse - joint de culasse - vase d'eau - ;02/05/2024;Gharib,med;PARC;11;22;0,5;11;50,00%;mécanique;
CB0284/1;TRANSFOR BETON;CENTRALE A BETON EMC 38  ELBAMATI CB0284 CB0284;CB0284;19/04/2024;moteur du malaxeur défectueux;Réparée;"bobinage - 02 roulement (réf: 6309;6310) - joint SPI (réf: 50x65x8 FPM)";06/05/2024;Externe;P,BECHAR;12;22;0,55;10;45,45%;mécanique;
052-01314-40/3;ENGIN TERRASSEM;CHARGEUR  HL740-7 HYUNDAI HYUNDAI  052-01314-40;052-01314-40;21/04/2024;fuite de l'huile moteur;Réparée;Joint SPI - nettoyage du circuit de refroidissement -  changement du liquide refroidissement;26/04/2024;Sekakra,Dj;PARC;5;22;0,23;17;77,27%;mécanique;
02441-209-40/2;TRANS/PERSONNEL;CAMION HD65 HYUNDAI 007995-209-16;02441-209-40;21/04/2024;passage de vitesse difficile;Réparée;mécanisme d'embrayage - soudure pot échappement - joint de collecteur d'échappement;21/04/2024;Youcefi,S;PARC;1;22;0,05;21;95,45%;mécanique;
CB3283/2;TRANS/CHANTIER;DUMPER AURES L500 (CB3283) ENMTP CB3283;CB3283;21/04/2024;problème electrique;Réparée;réparation de l'installation électrique - réparation démarreur;23/04/2024;Marir,R;PARC;3;22;0,14;19;86,36%;électrique;
00379-305-40/8;LEGER;MITSUBISHI PICK UP 00379-305-40;00379-305-40;21/04/2024;suspension usée;Réparée;04 amortisseur (AV - AR) - 02 rotule fusée - 04 silent bloc -  06 goujon de roue - 04 pneu;24/04/2024;Djeridi,A;MGX;4;22;0,18;18;81,82%;autres;
03371-712-40/1;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M2 DAEWOO  000429-712-16;03371-712-40;22/04/2024;cours sércuit au niveau de la comande toupie;Réparée;changement de fusible - réparation de la commande toupie;22/04/2024;Marir,R;CAB;1;22;0,05;21;95,45%;électrique;
01373-212-40/2;TRANS ET V, SPECIAUX  ;CAMION CITERNE 10,000 L DAEWOO  003792-212-16;01373-212-40;23/04/2024;passage de vitesses difficile;Réparée;réglage d'embrayage - mécanisme d'embrayage défectueux ;23/04/2024;Youcefi,S;PARC;1;22;0,05;21;95,45%;mécanique;
00934-309-40/3;LEGER;MITSUBISHI PICK UP 00934-309-40;00934-309-40;24/04/2024;alternateur défecteux ;Réparée;régulateur alternateur - capteur huile moteur;25/04/2024;Marir,R;MGX;2;22;0,09;20;90,91%;électrique;
02009-410-40/3;TRANS/PERSONNEL;MINI BUS/03 HYUNDAI 02009-410-40;02009-410-40;25/04/2024;passage de vitesses difficile;Réparée;mécanisme d'embrayage;26/04/2024;Sekakra,Dj;MGX;1;22;0,05;21;95,45%;mécanique;
051-01249-40/9;MANITENTION;GRUE SUR PNEU SANY QY25 SANY 051-01249-40;051-01249-40;25/04/2024;problème de demarrage;Réparée;pompette gasoil;26/04/2024;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
01106-711-40/1;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M5 HYUNDAY 000330-711-16;01106-711-40;28/04/2024;le moteur de la toupie ne démarre pas;Réparée;relai 12V - fusible;28/04/2024;Marir,R;CAB;1;22;0,05;21;95,45%;électrique;
03371-712-40/2;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M2 DAEWOO  000429-712-16;03371-712-40;28/04/2024;mauvais freinage;Réparée;04 garniture de frein -  rectification 03 tambour - 08 silent bloc (bras de force);16/05/2024;Sekakra,Dj;CAB;15;22;0,68;7;31,82%;mécanique;
00356-106-40/3;LEGER;TOYOTA ECHO 00356-106-40;00356-106-40;29/04/2024;probleme de demarrage;Réparée;démarreur (porte charbon);29/04/2024;Marir,R;CAB;1;22;0,05;21;95,45%;électrique;
CB1331/1;AIR COMPRIME;COMPRESSEUR M 57  KAESER CB1331;CB1331;02/05/2024;le compresseur ne démarre pas;Réparée;pompette gasoil remplacée;02/05/2024;Marir,R;CAB;1;22;0,05;21;95,45%;électrique;
02441-209-40/3;TRANS/PERSONNEL;CAMION HD65 HYUNDAI 007995-209-16;02441-209-40;05/05/2024;probleme de demarrage;Réparée;02 batterie 12V 92AH;05/05/2024;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
01373-212-40/3;TRANS ET V, SPECIAUX  ;CAMION CITERNE 10,000 L DAEWOO  003792-212-16;01373-212-40;05/05/2024;passage de vitesses difficile;Réparée;mécanisme d'embrayage -  ;19/05/2024;Djeridi,A;MGX;11;22;0,5;11;50,00%;mécanique;
02009-410-40/4;TRANS/PERSONNEL;MINI BUS/03 HYUNDAI 02009-410-40;02009-410-40;05/05/2024;passage de vitesses difficile;Réparée;réglage d'embrayage;14/05/2024;Youcefi,S;MGX;8;22;0,36;14;63,64%;mécanique;
00011-203-40/2;TRANS/BENNE;CAMION A BENNE K66 BN-03 DAEWOO  02166-203-16;00011-203-40;06/05/2024;probleme de demarrage;Réparée;02 BT eau déminéralisée - 02 cosse de batterie;06/05/2024;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
00378-105-40/3;LEGER;HONDA ACCORD 00378-105-40;00378-105-40;06/05/2024;feu (AV) ne marche pas;Réparée;02 Lampe code phare 12V;06/05/2024;Marir,R;MGX;1;22;0,05;21;95,45%;électrique;
02326-115-40/10;LEGER;NISSAN SUNNY 02326-115-40;02326-115-40;06/05/2024;bruit anormal a l'avant du véhicule;Réparée;rotule fusée - boulon de triangle (réparé);07/05/2024;Youcefi,S;MGX;2;22;0,09;20;90,91%;mécanique;
00378-105-40/4;LEGER;HONDA ACCORD 00378-105-40;00378-105-40;07/05/2024;ratage moteur/manque de puissance;Réparée;04 bougie d'allumage;07/05/2024;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
052-00775-40/9;MANITENTION;GRUE SUR PNEU 1025 ENMTP 052-00775-40;052-00775-40;07/05/2024;fuite de l'huile hydraulique;Réparée;tuyau hydraulique réparés;08/05/2024;Youcefi,S;MGX;2;22;0,09;20;90,91%;mécanique;
SP24/4;COMPACTAGE;MINI COMPACTEUR SP24 ENMTP SP24;SP24;08/05/2024;Bruit anormal au niveau du rouleau du compactage;Réparée;roulement (ref:22209MBW33C3) - ;14/05/2024;Youcefi,S;MGX;5;22;0,23;17;77,27%;mécanique;
