NB.SI;CATEGORIE;DESIGNATION;MATRICULE;DATE ENTREE;PANNE DECLAREE;SIT.ACTUELLE;PIECES;DATE SORTIE;INTERVENANT;AFFECTATION;NBR INDISPONIBILITE;JOUR OUVRABLE;RATIO;JOUR DISPONIBILITE;RATIO2; TYPE DE PANNE ;
CB0603/1;AIR COMPRIME;COMPRESSEUR D-45 603 ENMTP CB0603;CB0603;31/12/2022;moteur HS;Réparée;séparateur d'huile - filtre a huile - filtre hydraulique - 02 filtre a Air - 04 chemise/piston - 04 bague de bielle - 01 pompe a l'huile - jeu de coussinet - je de cale vilebrequin - arbre a cames - démarreur 12V - alternateur 12V - pochette de joint - joint de chemise - joint de culasse - poussoir - joint tournant (presse étoupe)  -  batterie 12V75Ah  -  flexible ;08/12/2024;Sekakra,Dj;PARC;506;22;23;0;100%;mécanique;
003784-212-16/1;TRANS/BENNE 40;CAMION  PLATEAU PL01 DAEWOO  01383-212-40;003784-212-16;10/01/2023;problème au niveau de la pompe injection ;Réparée;Accouplement pompe injection ;12/01/2023;Gharib,med;PARC;3;22;0,14;19;86,36%;mécanique;
02166-203-16/1;TRANS/BENNE 40;CAMION A BENNE K66 BN-03 SNVI 00011-203-40;02166-203-16;10/01/2023;problème démarrage;Réparée;Batterie 12V 92AH;10/01/2023;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
03368-812-40/1;TRANS ET V, SPECIAUX  ;COCOTTE A CIMENT 20T-03 SNVI 03368-812-40;03368-812-40;11/01/2023;Compresseur d'Air;Réparée;Durite Ø 70 ;11/01/2023;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
00379-305-40/1;LEGER;MITSUBISHI PICK UP 00379-305-40;00379-305-40;11/01/2023;température anormale;Réparée;thermostat;15/01/2023;Djeridi,A;MGX;3;22;0,14;19;86,36%;mécanique;
051-01340-40/1;MANITENTION;GRUE SUR PNEU SANY STC250 SANY 051-01340-40;051-01340-40;11/01/2023;pression huile insuffisante;Réparée;pompe a l'huile - roulement 6202 (02);16/01/2023;Gharib,med;PARC;4;22;0,18;18;81,82%;mécanique;
SP24/1;COMPACTAGE;MINI COMPACTEUR SP24 ENMTP SP24;SP24;12/01/2023;grincement au niveau du cylindre;Réparée;Joint spi 45/72/10 Support Rond - Roulement 22209 - ;18/01/2023;Sekakra,Dj;PARC;5;22;0,23;17;77,27%;mécanique;
051-01249-40/1;MANITENTION;GRUE SUR PNEU SANY QY25 SANY 051-01249-40;051-01249-40;15/01/2023;problème de freinage la membrane déchirée;Réparée;piston d'air;17/01/2023;Sekakra,Dj;PARC;3;22;0,14;19;86,36%;mécanique;
00106-102-40/1;LEGER;HYUNDAI ACCENT 00106-102-40;00106-102-40;15/01/2023;problème électrique;Réparée;Alternateur;18/01/2023;Marir,R;MGX;4;22;0,18;18;81,82%;électrique;
042-01812-40/1;ENGIN TERRASSEM;PELLE SUR CHENILLE EC 350DL VOLVO 042-01812-40;042-01812-40;15/01/2023;grincement au niveau des chenilles;Réparée;indéterminée;31/01/2023;Sekakra,Dj;PARC;13;22;0,59;9;40,91%;mécanique;
02654-313-40/1;LEGER;MITSUBISHI L200 02654-313-40;02654-313-40;15/01/2023;suspension usée-plaquettes de frein batterie chaine distribution;Réparée;02 rotule crémaillère - 02 rotule fusée - 02 rotule triangle - 06 silent bloc -  02 amortisseur - plaquette de frein/jeu - mâchoires de frein /jeu - 01 roulement de roue - 01 chaine distribution - 02 tendeur - joint SPI (DIHTC 25/30);01/02/2023;Djeridi,A;MGX;14;22;0,64;8;36,36%;mécanique;
051-01249-40/2;MANITENTION;GRUE SUR PNEU SANY QY25 SANY 051-01249-40;051-01249-40;17/01/2023;poulie cassées;Réparée;poulie Réf :10138120 - poulie Réf :11223626;30/01/2023;Djeridi,A;PARC;10;22;0,45;12;54,55%;mécanique;
051-01340-40/2;MANITENTION;GRUE SUR PNEU SANY STC250 SANY 051-01340-40;051-01340-40;18/01/2023;problème électrique;Dépanné;indéterminée;18/01/2023;Gharib,med;PARC;1;22;0,05;21;95,45%;électrique;
000330-711-16/1;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M5 DAEWOO  01106-711-40;000330-711-16;18/01/2023;fuite de gasoil;Réparée;Flexible gasoil;22/01/2023;Gharib,med;CAB;3;22;0,14;19;86,36%;mécanique;
008003-209-16/1;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M6 HYUNDAY 02326-209-40;008003-209-16;18/01/2023;Interrupteur À Bascule Manuel (toupie) cerveau d'embrayage défectueux;Réparée;Interrupteur grillé;22/01/2023;Marir,R;CAB;3;22;0,14;19;86,36%;électrique;
SP24/2;COMPACTAGE;MINI COMPACTEUR SP24 ENMTP SP24;SP24;18/01/2023;grincement du cylindre;Réparée;roulement - support cylindre - courroies d'entrainement;26/01/2023;Sekakra,Dj;PARC;7;22;0,32;15;68,18%;mécanique;
041-01295-40/1;ENGIN TERRASSEM;CHARGEUR WA420 KOMATSU 041-01295-40;041-01295-40;19/01/2023;fuite de l'huile hydraulique;Réparée;flexible hydraulique;22/01/2023;Sekakra,Dj;PARC;2;22;0,09;20;90,91%;mécanique;
00151-106-40/1;LEGER;RENAULT KANGOO 00151-106-40;00151-106-40;19/01/2023;problème de freinage/fuite gasoil;Réparée;pompette gasoil  -  liquide de frein;24/01/2023;Djeridi,A;MGX;4;22;0,18;18;81,82%;mécanique;
00379-305-40/2;LEGER;MITSUBISHI PICK UP 00379-305-40;00379-305-40;21/01/2023;poulie de vilebrequin détachée;Réparée;vis de poulie vilebrequin - taraudage de filetage vilebrequin - poussoir doigt de soupape - cosse de batterie;21/02/2023;Sekakra,Dj;MGX;23;22;1,05;0;100%;mécanique;
00101-300-40/1;LEGER;PEUGEOT EXPERT 00101-300-40;00101-300-40;22/01/2023;fuite liquide refroidissement;Réparée;débouchage du radiateur;29/01/2023;Djeridi,A;MGX;6;22;0,27;16;72,73%;mécanique;
003792-212-16/1;TRANS/BENNE 40;CAMION CITERNE 10,000 L DAEWOO  01373-212-40;003792-212-16;23/01/2023;batterie faible;Réparée;02 -  batterie 12 V 150 AH;23/01/2023;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
007993-209-16/1;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M4 HYUNDAY 02177-209-40;007993-209-16;23/01/2023;Changement du Liquide de refroidissement ;Réparée;liquide refroidissement 06 BT de 05 L - Huile de Frein DOT03 ;23/01/2023;Agaba,F;CAB;1;22;0,05;21;95,45%;mécanique;
000956-214-16/1;TRANS/BENNE 40;CAMION PLATEAU DAEWOO PL02 DAEWOO  000956-214-16;000956-214-16;23/01/2023;Changement de Pneu;Réparée;Pneu 1200/22,5;23/01/2023;Externe;PARC;1;22;0,05;21;95,45%;autres;
052-01383-40/1;MANITENTION;"CHARIOT,ELEV ""CLARK"" 70DF-7 HYUNDAI 052-01383-40";052-01383-40;23/01/2023;Changement de Batterie;Réparée;batterie 75 AH;23/01/2023;Marir,R;Parc;1;22;0,05;21;95,45%;électrique;
00200-104-40/1;LEGER;RENAULT CLIO 00200-104-40;00200-104-40;23/01/2023;Fuite de liquide refrroidissement thermostat défectueux;Réparée;pipe thermostat - thermostat - filtre a air - liquide refroidissement 05 L;23/01/2023;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
051-01340-40/3;MANITENTION;GRUE SUR PNEU SANY STC250 SANY 051-01340-40;051-01340-40;23/01/2023;voyant huile moteur allumé;Dépanné;problème électrique;23/01/2023;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
000935-505-16/1;TRANS/MARCHANDISE 40;TRACTER ROUTIER  MITSUBISHI 00111-505-40;000935-505-16;23/01/2023;Changement du Liquide de refroidissement ;Réparée;liquide refroidissement 06 BT de 05 L - Eau déminéralisée 04 BT - Ampoule 24V 04 ;23/01/2023;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
007993-209-16/2;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M4 HYUNDAY 02177-209-40;007993-209-16;24/01/2023;Tendeur de courroie usé;Réparée;02 roulement pour Tendeur de Courroie;30/01/2023;Sekakra,Dj;CAB;5;22;0,23;17;77,27%;mécanique;
002483-509-16/1;TRANS/MARCHANDISE 40;TRACTER ROUTIER  DAEWOO  00160-509-40;002483-509-16;25/01/2023;Fuite de L'huile ;Réparée;joints pour flexible manomètre de l'huile;25/01/2023;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
CB1482/1;AIR COMPRIME;COMPRESSEUR  D'AIR S-R 1482 AIR COM CB1482;CB1482;25/01/2023;Fuite d'huile au niveau du séparateur huile/air;Réparée;joints torique usés;26/01/2023;Gharib,med;Parc;2;22;0,09;20;90,91%;mécanique;
042-01210-40/1;ENGIN TERRASSEM;RETROCHARGEUR 428C CATERPILLAR 042-01210-40;042-01210-40;29/01/2023;engin ne démarre pas;Réparée;filtre gasoil;29/01/2023;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
052-00775-40/1;MANITENTION;GRUE SUR PNEU 1025 ENMTP 052-00775-40;052-00775-40;29/01/2023;passage de vitesses difficile;Réparée;cerveau d'embrayage;30/01/2023;Gharib,med;PARC;2;22;0,09;20;90,91%;mécanique;
008003-209-16/2;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M6 HYUNDAY 02326-209-40;008003-209-16;30/01/2023;batterie faible;Réparée;02 Batterie 12V 150AH;30/01/2023;Marir,R;CAB;1;22;0,05;21;95,45%;électrique;
CB1486/1;GEG;GROUPE  ELECTROGENE 15 KVA COVAX CB1486;CB1486;30/01/2023;ne démarre pas;Réparée;filtre gasoil;31/01/2023;Gharib,med;P,UNIVERSITE;2;22;0,09;20;90,91%;mécanique;
042-01812-40/2;ENGIN TERRASSEM;PELLE SUR CHENILLE EC 350DL VOLVO 042-01812-40;042-01812-40;30/01/2023;flexible hydraulique (godet);Réparée;flexible hydraulique;31/01/2023;Sekakra,Dj;PARC;2;22;0,09;20;90,91%;mécanique;
CB1473/1;OUTILLAGE DIVERS;CISAILLE ELECTRIQUE MOBILE REBAR MACA CB1473;CB1473;30/01/2023;problème mécanique;Réparée;Bougies d'Allumage;02/02/2023;Djeridi,A;P,CANAL;4;22;0,18;18;81,82%;mécanique;
02657-313-40/1;LEGER;MITSUBISHI L200 02657-313-40;02657-313-40;31/01/2023;grincement au niveau de la roue (AR) G;Réparée;mâchoires de frein (AR);05/02/2023;Djeridi,A;MGX;4;22;0,18;18;81,82%;mécanique;
042-330-40/1;ENGIN TERRASSEM;PELLE HD M318 CATERPILLAR 042-330-40;042-330-40;01/02/2023;fuite du liquide hydraulique;Réparée;flexible hydraulique;01/02/2023;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
02326-115-40/1;LEGER;NISSAN SUNNY 02326-115-40;02326-115-40;01/02/2023;ratage moteur;Réparée;Bougies d'Allumage;01/02/2023;Marir,R;MGX;1;22;0,05;21;95,45%;électrique;
057665-119-16/1;LEGER;RENAULT SYMBOLE 057665-119-16;057665-119-16;01/02/2023;batterie faible;Réparée;batterie 75 AH - 06 BT Acide 24;01/02/2023;Marir,R;MGX;1;22;0,05;21;95,45%;électrique;
003459-213-16/1;TRANS/BENNE 40;CAMION A BENNE C260 6X4 BN-14 DAEWOO  00744-213-40;003459-213-16;01/02/2023;bride de ressort a lames cassé;Réparée;bride de ressort a lame - boulon d'assemblage;06/02/2023;Sekakra,Dj;PARC;4;22;0,18;18;81,82%;mécanique;
003800-206-16/1;TRANS ET V, SPECIAUX 40;POMPE A BETON SCHWING SCHWING STITTER 01648-206-40;003800-206-16;01/02/2023;fuite de l'huile hydraulique;Réparée;joints pour cylindre différentiel;07/02/2023;Sekakra,Dj;CAB;5;22;0,23;17;77,27%;mécanique;
007993-209-16/3;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M4 HYUNDAY 02177-209-40;007993-209-16;05/02/2023;fuite de liquide refroidissement;Réparée;réglage;05/02/2023;Djeridi,A;CAB;1;22;0,05;21;95,45%;mécanique;
00377-305-40/1;LEGER;VOLKSWAGEN CADDY 00377-305-40;00377-305-40;05/02/2023;problème de démarrage;Réparée;manomètre température - relais préchauffage - chauffage habitacle réparé;07/02/2023;Marir,R;MGX;3;22;0,14;19;86,36%;électrique;
003800-206-16/2;TRANS ET V, SPECIAUX 40;POMPE A BETON SCHWING SCHWING STITTER 01648-206-40;003800-206-16;05/02/2023;batterie faible;Réparée;Batterie 12v/220HA - 02;07/02/2023;Marir,R;PARC;3;22;0,14;19;86,36%;électrique;
00200-104-40/2;LEGER;RENAULT CLIO 00200-104-40;00200-104-40;05/02/2023;Ratés du moteur perte de puissance;Réparée;fraisage culasse - rodage de soupape - joint de culasse - courroie distribution - Réf 556XS;13/02/2023;Djeridi,A;MGX;7;22;0,32;15;68,18%;mécanique;
000956-214-16/2;TRANS/BENNE 40;CAMION PLATEAU DAEWOO PL02 DAEWOO  000956-214-16;000956-214-16;06/02/2023;sécurit d'air;Réparée;02 durite Ø 40 ;07/02/2023;Sekakra,Dj;Parc;2;22;0,09;20;90,91%;mécanique;
042-01468-40/1;ENGIN TERRASSEM;PELLE SUR PNEU M315D CATERPILLAR 042-01468-40;042-01468-40;06/02/2023;fuite de l'huile dépose de la boite de vitesses;Réparée;Joint SPI;16/02/2023;Sekakra,Dj;PARC;9;22;0,41;13;59,09%;mécanique;
08222-311-16/1;LEGER;FORD PICK UP (FOREMHYD) 08222-311-16;08222-311-16;06/02/2023;indéterminée;Réparée;indéterminée;04/01/2024;/;FOREMHYD;239;22;10,86;0;100%;mécanique;
CB1436/1;AIR COMPRIME;COMPRESSEUR M 57  KAESER CB1436;CB1436;08/02/2023;chute lors du déplacement du compresseur pression d'air irrégulière ;Réparée;régulation progressive défaillante;08/03/2023;Gharib,med;PARC;21;22;0,95;1;4,55%;mécanique;
008003-209-16/3;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M6 HYUNDAY 02326-209-40;008003-209-16;09/02/2023;problème au niveau des courroies d'entrainement;Réparée;02 roulement (6204) pour Tendeur de Courroie ;16/02/2023;Gharib,med;CAB;6;22;0,27;16;72,73%;mécanique;
02326-115-40/2;LEGER;NISSAN SUNNY 02326-115-40;02326-115-40;13/02/2023;ratage moteur/problème persistant;Réparée;valise de diagnostic (scanner) aucune anomalie électrique a signalée;04/06/2023;Externe;MGX;80;22;3,64;0;100%;mécanique;
00106-102-40/2;LEGER;HYUNDAI ACCENT 00106-102-40;00106-102-40;14/02/2023;consommation excessive de l'huile moteur mélange huile/eau révision moteur indispensable;Réparée;reconditionnement moteur;24/04/2023;Djeridi,A;MGX;50;22;2,27;0;100%;mécanique;
01103-110-40/1;LEGER;TOYOTA COROLLA 01103-110-40;01103-110-40;15/02/2023;problème système du démarrage;Réparée;balais charbon pour démarreur;15/02/2023;Marir,R;MGX;1;22;0,05;21;95,45%;électrique;
007993-209-16/4;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M4 HYUNDAY 02177-209-40;007993-209-16;15/02/2023;fuite du liquide refroidissement;Réparée;durite d'eau;16/02/2023;Sekakra,Dj;CAB;2;22;0,09;20;90,91%;mécanique;
003800-206-16/3;TRANS ET V, SPECIAUX 40;POMPE A BETON SCHWING SCHWING STITTER 01648-206-40;003800-206-16;15/02/2023;fuite de l'huile hydraulique;Réparée;kit joints torique pour leviers de commande;16/02/2023;Gharib,med;CAB;2;22;0,09;20;90,91%;mécanique;
02657-313-40/2;LEGER;MITSUBISHI L200 02657-313-40;02657-313-40;16/02/2023;fuite liquide refroidissement;Réparée;durite;16/02/2023;Sekakra,Dj;MGX;1;22;0,05;21;95,45%;mécanique;
02041-112-40/1;LEGER;NISSAN SUNNY 02041-112-40;02041-112-40;16/02/2023;bruit au niveau de la roue AR;Réparée;Roulement de roue;14/09/2023;Djeridi,A;MGX;151;22;6,86;0;100%;mécanique;
003800-206-16/4;TRANS ET V, SPECIAUX 40;POMPE A BETON SCHWING SCHWING STITTER 01648-206-40;003800-206-16;19/02/2023;manque de pression hydraulique, la flèche ne monte pas;Réparée;indéterminée;18/07/2023;Gharib,med;PARC;108;22;4,91;0;100%;mécanique;
02166-413-40/1;TRANS/PERSONNEL;MINI BUS/02 MITSUBISHI 02161-413-40;02166-413-40;20/02/2023;PNEUMATIQUE;Réparée;pneu neuf (700/16) - ref:F00409 - ref:0034600;20/02/2023;Externe;MGX;1;22;0,05;21;95,45%;autres;
007993-209-16/5;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M4 HYUNDAY 02177-209-40;007993-209-16;20/02/2023;Fuite du liquide refroidissement;Réparée;durite ;21/02/2023;Gharib,med;CAB;2;22;0,09;20;90,91%;mécanique;
02326-115-40/3;LEGER;NISSAN SUNNY 02326-115-40;02326-115-40;20/02/2023;grincement au niveau du moteur;Réparée;02 courroie d'entrainement - 01 tendeur de courroies ;23/02/2023;Djeridi,A;MGX;4;22;0,18;18;81,82%;mécanique;
000332-711-16/1;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M1 DAEWOO  01250-711-40;000332-711-16;22/02/2023;panne moteur;Réparée;révision moteur;28/05/2023;Gharib,med;CAB;68;22;3,09;0;100%;mécanique;
02166-203-16/2;TRANS/BENNE 40;CAMION A BENNE K66 BN-03 SNVI 00011-203-40;02166-203-16;22/02/2023;surchauffe moteur;Réparée;culasse avec soupape K66;26/02/2023;Sekakra,Dj;PARC;3;22;0,14;19;86,36%;mécanique;
003094-204-16/1;TRANS/PERSONNEL 40;CAMION TP-01 MITSUBISHI 00040-204-40;003094-204-16;05/03/2023;panne moteur;Réparée;révision moteur;24/04/2023;Sekakra,Dj;CAB;37;22;1,68;0;100%;mécanique;
03368-812-40/2;TRANS ET V, SPECIAUX  ;COCOTTE A CIMENT 20T-03 SNVI 03368-812-40;03368-812-40;09/03/2023;fuite de l'huile compresseur d'air;Réparée;soudure/Support 04;14/03/2023;Djeridi,A;PARC;4;22;0,18;18;81,82%;mécanique;
051-01340-40/4;MANITENTION;GRUE SUR PNEU SANY STC250 SANY 051-01340-40;051-01340-40;12/03/2023;fumée noire /problème électrique;Dépanné;problème électrique (indéterminée) -  fumé et consommation excessive de l'huile (vraisemblablement Turbo défectueux);12/03/2023;Gharib,med;PARC;1;22;0,05;21;95,45%;électrique;
0003794-212-16/1;TRANS/BENNE 40;CAMION A BENNE BN-11 DAEWOO  03366-212-40;0003794-212-16;15/03/2023;réservoir perforé;Réparée;réparation du réservoir (soudure);19/03/2023;Sekakra,Dj;PARC;3;22;0,14;19;86,36%;mécanique;
097466-114-16/1;LEGER;RENAULT TRAFIC (FOREMHYD) 097466-114-16;097466-114-16;22/03/2023;rupture de la courroie de distribution;Réparée;courroie de distribution - (Réf: 22 231069/94939) 132 dents - tendeur de courroie - joint de culasse - ;26/03/2023;Sekakra,Dj;MGX;3;22;0,14;19;86,36%;mécanique;
01140-317-40/1;LEGER;VOLKSWAGEN  CADDY 01140-317-40;01140-317-40;26/03/2023;freinage;Réparée;plaquette de frein (AR);26/03/2023;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
003804-206-16/1;TRANS/PERSONNEL 40;CAMION TP-02 HYUNDAI  00194-206-40;003804-206-16;26/03/2023;fuite d'eau;Réparée;pompe a eau;27/03/2023;Marir,R;MGX;2;22;0,09;20;90,91%;électrique;
CB0600/1;MANITENTION;GRUE POTIN 01 (N° 57733) POTIN CB0600;CB0600;26/03/2023;roulement de poulie usées;Réparée;04 roulement de poulie;27/03/2023;Externe;P,HOPITAL;2;22;0,09;20;90,91%;mécanique;
00151-106-40/2;LEGER;RENAULT KANGOO 00151-106-40;00151-106-40;28/03/2023;Suspension usée;Réparée;04 amortisseurs - 02 triangle - 02 ressort - 02 tasseau - 02 support de boite - plaquette de frein/jeu - 01 régulateur alternateur ;02/04/2023;Djeridi,A;MGX;4;22;0,18;18;81,82%;mécanique;
00151-106-40/3;LEGER;RENAULT KANGOO 00151-106-40;00151-106-40;02/04/2023;problème de batterie alternateur ne charge pas;Réparée;régulateur d'alternateur;03/04/2023;Marir,R;MGX;2;22;0,09;20;90,91%;électrique;
003804-206-16/2;TRANS/PERSONNEL 40;CAMION TP-02 HYUNDAI  00194-206-40;003804-206-16;03/04/2023;pompe injection HS;Réparée;pompette gasoil  -  filtre gasoil -  remplacement de la pompe injection (prélevée du 02442 - 209 - 40);03/04/2023;Gharib,med;MGX;1;22;0,05;21;95,45%;mécanique;
CB0600/2;MANITENTION;GRUE POTIN 01 (N° 57733) POTIN CB0600;CB0600;03/04/2023;poulie a câble défectueuse;Réparée;02 roulement de poulie (6210);03/04/2023;Externe;P,HOPITAL;1;22;0,05;21;95,45%;mécanique;
000431-712-16/1;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M3 DAEWOO  03367-712-40;000431-712-16;04/04/2023;démarreur du malaxeur défectueux;Réparée;bendix (casse);04/04/2023;Marir,R;CAB;1;22;0,05;21;95,45%;électrique;
02654-313-40/2;LEGER;MITSUBISHI L200 02654-313-40;02654-313-40;05/04/2023;passage de vitesses difficile;Réparée;mécanisme d'embrayage;05/04/2023;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
004024-205-16/1;TRANS/BENNE 40;CAMION A BENNE BN-10 DAEWOO  00585-205-40;004024-205-16;09/04/2023;passage de vitesses difficile;Dépanné;mécanisme d'embrayage;09/04/2023;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
00200-104-40/3;LEGER;RENAULT CLIO 00200-104-40;00200-104-40;09/04/2023;problème de démarrage;Réparée;contacteur du démarreur;09/04/2023;Marir,R;MGX;1;22;0,05;21;95,45%;électrique;
00051-307-40/1;LEGER;MITSUBISHI PICK UP 00051-307-40;00051-307-40;09/04/2023;câble d'embrayage cassé;Réparée;câble d'embrayage;09/04/2023;Externe;MGX;1;22;0,05;21;95,45%;mécanique;
00101-300-40/2;LEGER;PEUGEOT EXPERT 00101-300-40;00101-300-40;09/04/2023;passage de vitesses impossible surchauffe moteur;Réparée;rupture du câble d'embrayage - radiateur  -  ventilateur ;12/04/2023;Djeridi,A;MGX;4;22;0,18;18;81,82%;mécanique;
052-00775-40/2;MANITENTION;GRUE SUR PNEU 1025 ENMTP 052-00775-40;052-00775-40;09/04/2023;passage de vitesses difficile ;Réparée;mécanisme d'embrayage ;24/05/2023;Gharib,med;PARC;34;22;1,55;0;100%;mécanique;
02166-203-16/3;TRANS/BENNE 40;CAMION A BENNE K66 BN-03 SNVI 00011-203-40;02166-203-16;16/04/2023;problème de freinage;Réparée;flexible air comprimé;16/04/2023;Sekakra,Dj;PARC;1;22;0,05;21;95,45%;mécanique;
CB3283/1;TRANS/CHANTIER;DUMPER AURES L500 (CB3283) ENMTP CB3283;CB3283;16/04/2023;problème de direction;Réparée;roulement - 6303;04/05/2023;Djeridi,A;PARC;15;22;0,68;7;31,82%;mécanique;
003804-206-16/3;TRANS/PERSONNEL 40;CAMION TP-02 HYUNDAI  00194-206-40;003804-206-16;17/04/2023;problème de température moteur;Réparée;changement de pompe a eau;17/04/2023;Gharib,med;MGX;1;22;0,05;21;95,45%;mécanique;
004024-205-16/2;TRANS/BENNE 40;CAMION A BENNE BN-10 DAEWOO  00585-205-40;004024-205-16;18/04/2023;fuite gasoil;Réparée;flexible gasoil;18/04/2023;Sekakra,Dj;PARC;1;22;0,05;21;95,45%;mécanique;
CB0301/1;GEG;GROUPE  DE SOUDURE DENYO CB0301;CB0301;19/04/2023;fuite du liquide refroidissement;Réparée;radiateur défectueux - pompe a eau ;09/05/2023;Djeridi,A;PARC;15;22;0,68;7;31,82%;mécanique;
052-00775-40/3;MANITENTION;GRUE SUR PNEU 1025 ENMTP 052-00775-40;052-00775-40;19/04/2023; consommation excessive de l'huile moteur;Réparée;reconditionnement moteur;24/05/2023;Sekakra,Dj;PARC;26;22;1,18;0;100%;mécanique;
008003-209-16/4;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M6 HYUNDAY 02326-209-40;008003-209-16;24/04/2023;balancier (suspension AR) cassé;Réparée;01 balancier - 01 - bride - 02 - boulon d'assemblage;30/04/2023;Sekakra,Dj;Parc;5;22;0,23;17;77,27%;mécanique;
02663-313-40/1;LEGER;PEUGEOT EXPERT 02663-313-40;02663-313-40;07/05/2023;passage de vitesses difficile;Réparée;mécanisme d'embrayage - soufflet cardon;07/05/2023;Sekakra,Dj;MGX;1;22;0,05;21;95,45%;mécanique;
008003-209-16/5;TRANS ET V, SPECIAUX 40;CAMION MALAXEUR  M6 HYUNDAY 02326-209-40;008003-209-16;07/05/2023;problème électrique;Réparée;relais 05 fiches;08/05/2023;Marir,R;CAB;2;22;0,09;20;90,91%;électrique;
01714-112-40/1;LEGER;NISSAN SUNNY 01714-112-40;01714-112-40;08/05/2023;suspension usée;Réparée;02 amortisseurs - 02 rotule fusée - 02 rotule direction - ;08/05/2023;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
004020-205-16/1;TRANS/BENNE 40;CAMION A BENNE BN-09 DAEWOO  00586-205-40;004020-205-16;08/05/2023;problème de freinage;Réparée;piston de frein;14/05/2023;Gharib,med;PARC;5;22;0,23;17;77,27%;mécanique;
004024-205-16/3;TRANS/BENNE 40;CAMION A BENNE BN-10 DAEWOO  00585-205-40;004024-205-16;09/05/2023;surchauffe moteur pompe a eau défectueuse;Réparée;pompe a eau défectueuse;09/05/2023;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
003804-206-16/4;TRANS/PERSONNEL 40;CAMION TP-02 HYUNDAI  00194-206-40;003804-206-16;09/05/2023;problème d'injection;Réparée;réglage pompe injection;09/05/2023;Gharib,med;MGX;1;22;0,05;21;95,45%;mécanique;
051-01340-40/5;MANITENTION;GRUE SUR PNEU SANY STC250 SANY 051-01340-40;051-01340-40;09/05/2023;deux poulie cassées;Réparée;poulie Réf :10138120 - poulie Réf :11223626;10/05/2023;Sekakra,Dj;PARC;2;22;0,09;20;90,91%;mécanique;
000935-505-16/2;TRANS/MARCHANDISE 40;TRACTER ROUTIER  MITSUBISHI 00111-505-40;000935-505-16;10/05/2023;passage de vitesse difficile;Réparée;mécanisme d'embrayage - porte buté - rectification volant moteur;18/05/2023;Gharib,med;Parc;7;22;0,32;15;68,18%;mécanique;
02663-313-40/2;LEGER;PEUGEOT EXPERT 02663-313-40;02663-313-40;11/05/2023;fuite du liquide (pompe d'embrayage);Réparée;mécanisme d'embrayage - 01 pompe d'embrayage - 01 boitier thermostat - 01 thermostat - 01 Bouchon Vase d'Eau;11/05/2023;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
042-330-40/2;ENGIN TERRASSEM;PELLE HD M318 CATERPILLAR 042-330-40;042-330-40;11/05/2023;goujons de roue abimés;Réparée;goujons de roue;23/05/2023;Djeridi,A;PARC;9;22;0,41;13;59,09%;mécanique;
00145-105-40/1;LEGER;HONDA CIVIC 00145-105-40;00145-105-40;14/05/2023;fuite d'eau/huile;Réparée;réparation de fuite (radiateur) - fuite de l'huile moteur (au niveau du filtre et cache culbuteur);17/05/2023;Djeridi,A;MGX;4;22;0,18;18;81,82%;mécanique;
00152-899-40/1;TRANS ET V, SPECIAUX  ;COCOTTE A CIMENT 20T-02 SNVI 00152-899-40;00152-899-40;15/05/2023;bruit anormal au niveau de la suspension;Réparée;bride de ressort a lame - ;21/05/2023;Djeridi,A;Parc;5;22;0,23;17;77,27%;mécanique;
057665-119-16/2;LEGER;RENAULT SYMBOLE 057665-119-16;057665-119-16;15/05/2023;accident de circulation ;Réparée;01 - Radiateurs Moteur  -  Cache Radiateur - 01  -  Radiateur de Turbo - 01  - Radiateur pour Air Conditionné - ;05/06/2023;Djeridi,A;MGX;16;22;0,73;6;27,27%;mécanique;
